08/2006::Halfway through::Security Engineering::0471389226::Ross Anderson::So
05/2007::Finished::Touching From a Distance::0571224814::Deborah Curtis::
	I really enjoyed this. It's a fascinating biography. Well worth a read if you
	enjoyed the film, there is plenty more in here.
06/2007::Finished::Cloud Atlas::0340822783::David Mitchell::
	For most of the book I couldn't work out if it was too gimmicky, but the last couple
	of chapters really swung it for me. It does lay it on a bit thick at times, but there
	are some real high points.
11/2007::Finished::All of these people::0007176937::Fergal Keane::
	Really good biography. A really interesting life, with some a personal side that is
	very moving.
08/2008::Finished::Disgrace::0099289520::J. M. Coetzee::
	Amazing book. I can see why it won the awards that it did.
07/2008::Finished::Half of a Yellow Sun::0007200285::Chimamanda Ngozi Adichie::
	Really enjoyed this one. It's very interesting, moving and well-written.
08/2008::Finished::Things Fall Apart::0141186887::Chinua Achebe::
	A great book. Very powerful, and extremely interesting.
08/2008::Finished::Exit A::1416527559::Anthony Swofford::
	Disappointing. It has its moments, but not enough to carry it. Not recommended.
09/2008::Finished::Life of Pi::184195392X::Yann Martel::
	Very good book. Interesting and suspenseful.

